subjectId,community,year,sitting,originalExercises,PASSED,REVIEW_REQUIRED,BLOCKED
"matematicas-ccss-ii","Madrid","2008","Sin determinar","8","0","0","8"
"matematicas-ccss-ii","Madrid","2009","Junio/ordinaria","9","0","0","9"
"matematicas-ccss-ii","Madrid","2009","Septiembre","7","0","0","7"
"matematicas-ccss-ii","Madrid","2009","Sin determinar","8","0","0","8"
"matematicas-ccss-ii","Madrid","2010","Junio/ordinaria","4","0","0","4"
"matematicas-ccss-ii","Madrid","2010","Septiembre","8","0","0","8"
"matematicas-ccss-ii","Madrid","2010","Sin determinar","10","0","0","10"
"matematicas-ccss-ii","Madrid","2011","Junio/ordinaria","8","0","0","8"
"matematicas-ccss-ii","Madrid","2011","Septiembre","16","0","0","16"
"matematicas-ccss-ii","Madrid","2011","Sin determinar","8","0","0","8"
"matematicas-ccss-ii","Madrid","2012","Junio/ordinaria","16","0","0","16"
"matematicas-ccss-ii","Madrid","2012","Septiembre","8","0","0","8"
"matematicas-ccss-ii","Madrid","2012","Sin determinar","8","0","0","8"
"matematicas-ccss-ii","Madrid","2013","Junio/ordinaria","25","0","0","25"
"matematicas-ccss-ii","Madrid","2013","Septiembre","14","0","0","14"
"matematicas-ccss-ii","Madrid","2013","Sin determinar","10","0","0","10"
"matematicas-ccss-ii","Madrid","2014","Junio/ordinaria","20","0","0","20"
"matematicas-ccss-ii","Madrid","2014","Septiembre","21","0","0","21"
"matematicas-ccss-ii","Madrid","2014","Sin determinar","10","0","0","10"
"matematicas-ccss-ii","Madrid","2015","Junio/ordinaria","20","0","0","20"
"matematicas-ccss-ii","Madrid","2015","Septiembre","18","0","0","18"
"matematicas-ccss-ii","Madrid","2015","Sin determinar","10","0","0","10"
"matematicas-ccss-ii","Madrid","2016","Junio/ordinaria","19","0","0","19"
"matematicas-ccss-ii","Madrid","2016","Septiembre","10","0","0","10"
"matematicas-ccss-ii","Madrid","2016","Sin determinar","10","0","0","10"
"matematicas-ccss-ii","Madrid","2017","Junio/ordinaria","18","0","0","18"
"matematicas-ccss-ii","Madrid","2017","Septiembre","20","0","0","20"
"matematicas-ccss-ii","Madrid","2018","Junio/ordinaria","20","0","0","20"
"matematicas-ccss-ii","Madrid","2018","Sin determinar","21","0","0","21"
"matematicas-ccss-ii","Madrid","2019","Junio/ordinaria","20","0","0","20"
"matematicas-ccss-ii","Madrid","2019","Sin determinar","30","0","0","30"
"matematicas-ccss-ii","Madrid","2020","Julio","18","0","0","18"
"matematicas-ccss-ii","Madrid","2020","Septiembre","11","0","0","11"
"matematicas-ccss-ii","Madrid","2020","Sin determinar","10","0","0","10"
"matematicas-ccss-ii","Madrid","2021","Julio","11","0","0","11"
"matematicas-ccss-ii","Madrid","2021","Junio/ordinaria","20","0","0","20"
"matematicas-ccss-ii","Madrid","2021","Sin determinar","11","0","0","11"
"matematicas-ccss-ii","Madrid","2022","Extraordinaria","20","0","0","20"
"matematicas-ccss-ii","Madrid","2022","Junio/ordinaria","17","0","0","17"
"matematicas-ccss-ii","Madrid","2022","Sin determinar","9","0","0","9"
"matematicas-ccss-ii","Madrid","2023","Extraordinaria","21","0","0","21"
"matematicas-ccss-ii","Madrid","2023","Junio/ordinaria","19","0","0","19"
"matematicas-ccss-ii","Madrid","2023","Sin determinar","9","0","0","9"
"matematicas-ccss-ii","Madrid","2024","Extraordinaria","20","0","0","20"
"matematicas-ccss-ii","Madrid","2024","Junio/ordinaria","20","0","0","20"
"matematicas-ccss-ii","Madrid","2024","Sin determinar","10","0","0","10"
"matematicas-ccss-ii","Madrid","2025","Extraordinaria","7","0","0","7"
"matematicas-ccss-ii","Madrid","2025","Junio/ordinaria","6","0","0","6"
"matematicas-ccss-ii","Madrid","2025","Sin determinar","3","0","0","3"
"matematicas-ccss-ii","Madrid","2026","Extraordinaria","5","0","0","5"
"matematicas-ccss-ii","Madrid","2026","Junio/ordinaria","7","0","0","7"
"matematicas-ccss-ii","Madrid","2026","Sin determinar","2","0","0","2"
"matematicas-ccss-ii","Madrid","Sin determinar","Extraordinaria","1","0","0","1"
"matematicas-ccss-ii","Madrid","Sin determinar","Julio","1","0","0","1"
"matematicas-ccss-ii","Madrid","Sin determinar","Junio/ordinaria","6","0","0","6"
"matematicas-ccss-ii","Madrid","Sin determinar","Septiembre","1","0","0","1"
"matematicas-ccss-ii","Sin determinar","2008","Junio/ordinaria","3","0","0","3"
"matematicas-ccss-ii","Sin determinar","2008","Septiembre","3","0","0","3"
"matematicas-ccss-ii","Sin determinar","2008","Sin determinar","6","0","0","6"
"matematicas-ccss-ii","Sin determinar","2009","Junio/ordinaria","3","0","0","3"
"matematicas-ccss-ii","Sin determinar","2009","Septiembre","3","0","0","3"
"matematicas-ccss-ii","Sin determinar","2009","Sin determinar","6","0","0","6"
"matematicas-ccss-ii","Sin determinar","2010","Junio/ordinaria","1","0","0","1"
"matematicas-ccss-ii","Sin determinar","2010","Septiembre","1","0","0","1"
"matematicas-ccss-ii","Sin determinar","2010","Sin determinar","2","0","0","2"
"matematicas-ccss-ii","Sin determinar","2020","Septiembre","1","0","0","1"
"matematicas-ccss-ii","Sin determinar","Sin determinar","Sin determinar","55","0","0","55"
"matematicas-ii","Castilla-La Mancha","2000","Junio/ordinaria","14","0","0","14"
"matematicas-ii","Castilla-La Mancha","2000","Septiembre","15","0","0","15"
"matematicas-ii","Castilla-La Mancha","2000","Sin determinar","14","0","0","14"
"matematicas-ii","Castilla-La Mancha","2001","Junio/ordinaria","14","0","0","14"
"matematicas-ii","Castilla-La Mancha","2001","Septiembre","15","0","0","15"
"matematicas-ii","Castilla-La Mancha","2001","Sin determinar","30","0","0","30"
"matematicas-ii","Castilla-La Mancha","2002","Junio/ordinaria","16","0","0","16"
"matematicas-ii","Castilla-La Mancha","2002","Septiembre","14","0","0","14"
"matematicas-ii","Castilla-La Mancha","2002","Sin determinar","30","0","0","30"
"matematicas-ii","Castilla-La Mancha","2003","Junio/ordinaria","16","0","0","16"
"matematicas-ii","Castilla-La Mancha","2003","Septiembre","16","0","0","16"
"matematicas-ii","Castilla-La Mancha","2003","Sin determinar","31","0","0","31"
"matematicas-ii","Castilla-La Mancha","2004","Junio/ordinaria","10","0","0","10"
"matematicas-ii","Castilla-La Mancha","2004","Septiembre","9","0","0","9"
"matematicas-ii","Castilla-La Mancha","2004","Sin determinar","29","0","0","29"
"matematicas-ii","Castilla-La Mancha","2005","Junio/ordinaria","9","0","0","9"
"matematicas-ii","Castilla-La Mancha","2005","Septiembre","11","0","0","11"
"matematicas-ii","Castilla-La Mancha","2006","Junio/ordinaria","9","0","0","9"
"matematicas-ii","Castilla-La Mancha","2006","Septiembre","9","0","0","9"
"matematicas-ii","Castilla-La Mancha","2007","Junio/ordinaria","11","0","0","11"
"matematicas-ii","Castilla-La Mancha","2007","Septiembre","10","0","0","10"
"matematicas-ii","Castilla-La Mancha","2007","Sin determinar","30","0","0","30"
"matematicas-ii","Castilla-La Mancha","2008","Junio/ordinaria","11","0","0","11"
"matematicas-ii","Castilla-La Mancha","2008","Septiembre","10","0","0","10"
"matematicas-ii","Castilla-La Mancha","2008","Sin determinar","28","0","0","28"
"matematicas-ii","Castilla-La Mancha","2009","Junio/ordinaria","10","0","0","10"
"matematicas-ii","Castilla-La Mancha","2009","Septiembre","10","0","0","10"
"matematicas-ii","Castilla-La Mancha","2009","Sin determinar","29","0","0","29"
"matematicas-ii","Castilla-La Mancha","2010","Junio/ordinaria","13","0","0","13"
"matematicas-ii","Castilla-La Mancha","2010","Septiembre","14","0","0","14"
"matematicas-ii","Castilla-La Mancha","2010","Sin determinar","27","0","0","27"
"matematicas-ii","Castilla-La Mancha","2011","Junio/ordinaria","11","0","0","11"
"matematicas-ii","Castilla-La Mancha","2011","Septiembre","12","0","0","12"
"matematicas-ii","Castilla-La Mancha","2011","Sin determinar","28","0","0","28"
"matematicas-ii","Castilla-La Mancha","2012","Junio/ordinaria","12","0","0","12"
"matematicas-ii","Castilla-La Mancha","2012","Septiembre","12","0","0","12"
"matematicas-ii","Castilla-La Mancha","2012","Sin determinar","23","0","0","23"
"matematicas-ii","Castilla-La Mancha","2013","Junio/ordinaria","10","0","0","10"
"matematicas-ii","Castilla-La Mancha","2013","Septiembre","10","0","0","10"
"matematicas-ii","Castilla-La Mancha","2013","Sin determinar","20","0","0","20"
"matematicas-ii","Castilla-La Mancha","2014","Junio/ordinaria","8","0","0","8"
"matematicas-ii","Castilla-La Mancha","2014","Septiembre","8","0","0","8"
"matematicas-ii","Castilla-La Mancha","2015","Junio/ordinaria","12","0","0","12"
"matematicas-ii","Castilla-La Mancha","2015","Septiembre","11","0","0","11"
"matematicas-ii","Castilla-La Mancha","2016","Junio/ordinaria","12","0","0","12"
"matematicas-ii","Castilla-La Mancha","2016","Septiembre","12","0","0","12"
"matematicas-ii","Castilla-La Mancha","2017","Junio/ordinaria","16","0","0","16"
"matematicas-ii","Castilla-La Mancha","2017","Septiembre","16","0","0","16"
"matematicas-ii","Castilla-La Mancha","2018","Julio","16","0","0","16"
"matematicas-ii","Castilla-La Mancha","2018","Junio/ordinaria","16","0","0","16"
"matematicas-ii","Castilla-La Mancha","2019","Julio","15","0","0","15"
"matematicas-ii","Castilla-La Mancha","2019","Junio/ordinaria","15","0","0","15"
"matematicas-ii","Castilla-La Mancha","2020","Julio","16","0","0","16"
"matematicas-ii","Castilla-La Mancha","2020","Junio/ordinaria","16","0","0","16"
"matematicas-ii","Castilla-La Mancha","2021","Julio","13","0","0","13"
"matematicas-ii","Castilla-La Mancha","2021","Junio/ordinaria","14","0","0","14"
"matematicas-ii","Castilla-La Mancha","2022","Julio","20","0","0","20"
"matematicas-ii","Castilla-La Mancha","2022","Junio/ordinaria","22","0","0","22"
"matematicas-ii","Castilla-La Mancha","2023","Julio","19","0","0","19"
"matematicas-ii","Castilla-La Mancha","2023","Junio/ordinaria","21","0","0","21"
"matematicas-ii","Castilla-La Mancha","2024","Julio","17","0","0","17"
"matematicas-ii","Castilla-La Mancha","2024","Junio/ordinaria","17","0","0","17"
"matematicas-ii","Castilla-La Mancha","2025","Julio","5","0","0","5"
"matematicas-ii","Castilla-La Mancha","2025","Junio/ordinaria","7","0","0","7"
"matematicas-ii","Castilla-La Mancha","2026","Julio","8","0","0","8"
"matematicas-ii","Castilla-La Mancha","2026","Junio/ordinaria","9","0","0","9"
"matematicas-ii","Castilla-La Mancha","Sin determinar","Julio","1","0","0","1"
"matematicas-ii","Castilla-La Mancha","Sin determinar","Junio/ordinaria","5","0","0","5"
"matematicas-ii","Castilla-La Mancha","Sin determinar","Septiembre","1","0","0","1"
"matematicas-ii","Castilla-La Mancha","Sin determinar","Sin determinar","1","0","0","1"
"matematicas-ii","Madrid","2000","Junio/ordinaria","7","0","0","7"
"matematicas-ii","Madrid","2000","Septiembre","8","0","0","8"
"matematicas-ii","Madrid","2000","Sin determinar","9","0","0","9"
"matematicas-ii","Madrid","2001","Junio/ordinaria","7","0","0","7"
"matematicas-ii","Madrid","2001","Septiembre","10","0","0","10"
"matematicas-ii","Madrid","2001","Sin determinar","7","0","0","7"
"matematicas-ii","Madrid","2002","Junio/ordinaria","4","0","0","4"
"matematicas-ii","Madrid","2002","Septiembre","9","0","0","9"
"matematicas-ii","Madrid","2002","Sin determinar","11","0","0","11"
"matematicas-ii","Madrid","2003","Junio/ordinaria","5","0","0","5"
"matematicas-ii","Madrid","2003","Septiembre","8","0","0","8"
"matematicas-ii","Madrid","2003","Sin determinar","10","0","0","10"
"matematicas-ii","Madrid","2004","Junio/ordinaria","7","0","0","7"
"matematicas-ii","Madrid","2004","Septiembre","9","0","0","9"
"matematicas-ii","Madrid","2004","Sin determinar","8","0","0","8"
"matematicas-ii","Madrid","2005","Junio/ordinaria","7","0","0","7"
"matematicas-ii","Madrid","2005","Septiembre","8","0","0","8"
"matematicas-ii","Madrid","2005","Sin determinar","8","0","0","8"
"matematicas-ii","Madrid","2006","Junio/ordinaria","4","0","0","4"
"matematicas-ii","Madrid","2006","Septiembre","8","0","0","8"
"matematicas-ii","Madrid","2006","Sin determinar","11","0","0","11"
"matematicas-ii","Madrid","2007","Junio/ordinaria","8","0","0","8"
"matematicas-ii","Madrid","2007","Septiembre","8","0","0","8"
"matematicas-ii","Madrid","2007","Sin determinar","7","0","0","7"
"matematicas-ii","Madrid","2008","Junio/ordinaria","7","0","0","7"
"matematicas-ii","Madrid","2008","Septiembre","6","0","0","6"
"matematicas-ii","Madrid","2008","Sin determinar","7","0","0","7"
"matematicas-ii","Madrid","2009","Junio/ordinaria","11","0","0","11"
"matematicas-ii","Madrid","2009","Septiembre","12","0","0","12"
"matematicas-ii","Madrid","2009","Sin determinar","10","0","0","10"
"matematicas-ii","Madrid","2010","Junio/ordinaria","17","0","0","17"
"matematicas-ii","Madrid","2010","Septiembre","12","0","0","12"
"matematicas-ii","Madrid","2010","Sin determinar","8","0","0","8"
"matematicas-ii","Madrid","2011","Junio/ordinaria","4","0","0","4"
"matematicas-ii","Madrid","2011","Septiembre","6","0","0","6"
"matematicas-ii","Madrid","2011","Sin determinar","11","0","0","11"
"matematicas-ii","Madrid","2012","Junio/ordinaria","11","0","0","11"
"matematicas-ii","Madrid","2012","Septiembre","10","0","0","10"
"matematicas-ii","Madrid","2012","Sin determinar","8","0","0","8"
"matematicas-ii","Madrid","2013","Junio/ordinaria","19","0","0","19"
"matematicas-ii","Madrid","2013","Septiembre","12","0","0","12"
"matematicas-ii","Madrid","2013","Sin determinar","8","0","0","8"
"matematicas-ii","Madrid","2014","Junio/ordinaria","14","0","0","14"
"matematicas-ii","Madrid","2014","Septiembre","9","0","0","9"
"matematicas-ii","Madrid","2014","Sin determinar","7","0","0","7"
"matematicas-ii","Madrid","2015","Junio/ordinaria","16","0","0","16"
"matematicas-ii","Madrid","2015","Septiembre","16","0","0","16"
"matematicas-ii","Madrid","2015","Sin determinar","7","0","0","7"
"matematicas-ii","Madrid","2016","Junio/ordinaria","16","0","0","16"
"matematicas-ii","Madrid","2016","Septiembre","7","0","0","7"
