key,occurrences,candidateIds,sourceRecordIds,status
"template:1bach-ccss:topic-5:template-169avje","7","[""cand-0b1140ec-f68c-5548-a3b2-e0e2f4fdd034"",""cand-0e241902-2e1c-50ab-b13a-7491ad359c93"",""cand-8b14e84a-28fb-5f67-b551-03d06074f148"",""cand-8da02429-85ed-5fad-8da7-319dcd95c7eb"",""cand-b71e7a0c-44a3-53f0-98af-eaf40e1eebad"",""cand-d2c9d8ee-0d01-5015-8de7-c6ffd5b923f7"",""cand-d645ca22-905e-5619-9cff-7ed7ae4d34c4""]","[""src-97303464-1470-5817-bdc6-01e6644b3356"",""src-130de0c2-4623-5518-a648-09879c579e18"",""src-48756455-cbbc-50c5-ace7-8b8ee044abc5"",""src-9e783a1f-1fab-5f42-83ee-8d58a14df4a8"",""src-7f8a0fb1-208b-524b-9eb0-005eda2b31b0"",""src-68902cdc-9728-5b9f-87f4-1e16de98d5a7"",""src-76c8feb9-b29e-523a-bbde-ea5ca9f16d3f""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1bach-ccss:topic-5:template-1stxudo","8","[""cand-109ac323-a879-52bb-9e7f-ae75bd51d298"",""cand-1685ec80-caf1-5f89-ac98-d4ed8796abae"",""cand-29d0ef0e-0b2a-5203-9b39-14f5ceb17e56"",""cand-76ea067f-397d-57e0-a63c-830fe280e16a"",""cand-8def8346-c092-5fba-9c27-20be63e88e0e"",""cand-b8fdb98b-4dc2-506a-adfd-99a0d0b7573d"",""cand-e8ad6c70-9929-5e24-a9eb-73d898cf3c59"",""cand-fa195bea-9867-5f04-8558-340dcd8baa2d""]","[""src-d81f565b-ba56-58b3-995a-5aaeae935738"",""src-80312bd3-cc7d-568c-8698-4c4c6736afc4"",""src-7883a9ce-04e1-568e-87ca-aacc593b0bb7"",""src-cfbbe311-f1f1-5068-bae5-41e12627ec01"",""src-443fc4dc-7184-5f0a-9162-9445f67ba842"",""src-7e06ca01-bd25-5ab2-837b-3a5d57bcb578"",""src-b6eba31e-7582-5ac2-920d-d405e37eccf1"",""src-24ea156c-924b-5eff-90d9-8a3723e6110d""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1bach-ccss:topic-5:template-1u7w4ib","8","[""cand-18428d91-915c-55f5-815a-18647a5cb33c"",""cand-42a25db0-4dc8-5115-91cb-86e129db3fae"",""cand-4c7db99b-21f0-5246-941d-e9e542b6119c"",""cand-514db0d4-d8f3-5af6-9293-6b706ba76cd4"",""cand-5c3a2f39-b497-563d-9f57-2256eb279f5a"",""cand-b76b3981-eb73-5926-833d-6f32cc6f3cca"",""cand-c30b4aec-3c49-5439-8bf5-f39e81f132d0"",""cand-f97c42c3-c332-5f5f-b38b-b523731044db""]","[""src-3a754fc6-b04d-57e4-ad85-43ba2d14d83d"",""src-3cb41407-0b33-510b-9c66-39e6fbc374df"",""src-25877f21-6b9b-5c49-b2c4-fc508b078297"",""src-dbd8b48c-1115-57fd-9171-8f596df9680b"",""src-6d5817b5-5190-5d5f-99a5-d2ead3dbaf46"",""src-61275b0a-0439-50f4-9d41-fc2a9d6e343e"",""src-17448b4c-6858-590f-90f3-886a71f291df"",""src-e717da05-613a-5aee-842b-1fd7e86d05a6""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1bach-ccss:topic-5:template-m70r2u","8","[""cand-50ee9334-ddd3-55de-a55b-b08f6f5440e7"",""cand-5330db24-4ed9-5a0f-94b0-97b8f028af4d"",""cand-68845420-8a16-5a2d-82c5-87e3f02ee482"",""cand-74fff524-fe32-59ac-bb57-ec8edc5618a1"",""cand-8a1fd97e-bbdb-5ed2-a324-958963817f7c"",""cand-9d5f736d-3fd6-5b0e-985f-18d1e98123f8"",""cand-d04e18cb-ddd2-5840-bf62-fa3b34f1ce98"",""cand-e7822aa6-f1bd-5e4c-97f6-d3a34f91bcab""]","[""src-2e1f579f-e07e-596e-a4c8-930c421c7dbd"",""src-fa437eb3-55db-54ec-82e7-7521215d7c01"",""src-54975b5f-73a0-53e3-9b4b-0f1490bb7394"",""src-ea95c68b-b915-5d0b-bde8-479fb857ec45"",""src-b2d2616c-6c82-5d50-a9f6-19fd8c06d141"",""src-c8cb6c75-021d-5662-8a5a-dd74cac8d905"",""src-1ad71032-4bd4-5246-b3c7-cf47a3d44eca"",""src-49718e36-320f-56bf-a5e5-3d3f463069a3""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1bach-mates:topic-5:template-1b8ajjv","2","[""cand-5ddcfe28-4149-53e5-b89a-1be741713a62"",""cand-d987ce40-8f6c-5d17-8375-5bd0d17fc8d2""]","[""src-d176c755-e71f-5bc6-a0cb-b320ec96a308"",""src-e6964a3d-af0b-540e-b71a-2df21a0e7732""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1bach-mates:topic-5:template-1g3mkd1","7","[""cand-33e312d0-e00b-5e5c-9f87-a1926b1b9d24"",""cand-97439cd5-d8ca-5c2f-a5b7-376af57bda23"",""cand-b3b4d055-d4f1-5011-a1d3-a81b57ead1b9"",""cand-c9217049-5311-575a-bbfc-9a7081f1a171"",""cand-d1514124-83da-5621-84af-7cb581ed7930"",""cand-d6824891-ec98-53d3-b336-69d23d267f19"",""cand-f4560a70-ec14-5bf0-a8a4-b65109ddbd1a""]","[""src-90dfebd2-b6d6-59ba-8506-b292475e6031"",""src-ff005af7-a1c7-520d-ba87-17810690eb5d"",""src-f89f1a2d-316b-5e50-9676-1f906154e520"",""src-c8741ddd-832d-5ca4-8fd1-981c1b17b8a3"",""src-14f21517-4d14-5bf4-bb34-ca2dba8096aa"",""src-0cab2f2f-85ee-5eae-b156-81d349a66aaa"",""src-ae628e63-f866-5c65-8785-771bf4ba5fd2""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1bach-mates:topic-5:template-2we07","2","[""cand-13667a6d-8e21-53ee-aace-034e35dd7382"",""cand-27cf668b-f186-50d5-a1ee-ef3ebb37ecd0""]","[""src-caad2144-e227-5c18-9831-3740ee1b8379"",""src-d4c06360-d4c1-50ca-ae2e-9fdc68087997""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1bach-mates:topic-5:template-slkfw","7","[""cand-1f51ef89-a8f9-54b4-8cfa-66eafdf00e11"",""cand-439a07ca-9369-5ebe-a596-e0d5735f7888"",""cand-85f9093e-5ca6-5fed-824a-76a79735f817"",""cand-9d761ad9-2149-53c6-b4f8-c5c3962412ab"",""cand-aa5c39c0-d226-58cd-b921-dc2a84295588"",""cand-b94c7e95-e72f-5da5-840f-128aa0fad375"",""cand-c789e569-1e00-5f67-9e66-3775e579f3e9""]","[""src-371a22b4-b0a5-55c6-9565-b1cdd7b7b210"",""src-e7bb4dfc-9d51-57ab-ba91-3cf416d52b85"",""src-69d59558-8043-5c17-baee-86dc46bea246"",""src-49a3e26a-c601-5f45-9f0d-1842ccb464f2"",""src-d26adefe-dc59-58cf-bd13-b5204a8423c5"",""src-dabf752b-b869-505f-9259-2ce431b9fd93"",""src-919d0a62-63a9-5807-a2c3-87e24d627dc3""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1bach-mates:topic-5:template-u2v93a","7","[""cand-2e2e08fe-d686-5f2d-a50e-a50e71a238af"",""cand-317f5f1c-51d4-5780-a8c1-1119d7d96013"",""cand-3d2f6a44-dd2d-5c52-85b4-06c593560d3a"",""cand-6cf2a6d3-de78-50e2-8a61-c1ab35a00216"",""cand-83bddd4c-298f-511e-9c3f-8c47b8a4fca2"",""cand-a6d36200-6df8-59dc-8b04-9243ca12cc62"",""cand-e4e8aaa4-ba36-5788-9da5-a13bfe806f7e""]","[""src-29a9d9b6-7394-552c-b2cf-864103d2cd22"",""src-41faea52-7a45-5160-ae7a-f919e2b1bc82"",""src-761705b2-d823-5387-8a96-57fe7a55c2bd"",""src-102c07d9-8317-5daa-a7bf-423de60d4867"",""src-4c54d0cb-5a21-5e74-984a-0eeb352decd3"",""src-36fd6d47-2c5a-5e34-88f9-d49dd794fdb3"",""src-8371628c-b4b1-5b7c-ad4b-c7ea08114a5b""]","MATHEMATICAL_REVIEW_REQUIRED"
"template:1eso:cuerpos-geometricos:template-115vglj","2","[""cand-310def8d-7a3f-5f81-9b5e-7743fd7937ab"",""cand-9fa67fdf-1604-5ac5-bbff-5d412db438eb""]","[""src-80fd9453-19d9-53ed-bfc9-804b7ddfd720"",""src-5beab575-f4b4-563b-927b-a8d4a72deeaf""]","MATHEMATICAL_REVIEW_REQUIRED"
