"key","total","SEGMENTATION_OK","EXAM_INSTRUCTION_ATTACHED","DUPLICATED_HEADER","MULTIPLE_EXERCISES_MERGED","EXERCISE_INCORRECTLY_SPLIT","SUBPART_STRUCTURE_ERROR","SOURCE_TEXT_CORRUPTION","MATH_NOTATION_CORRUPTION","DOCUMENT_REVIEW_REQUIRED"
"CCSS II|Madrid|2004|","9","9","0","0","0","0","0","0","0","9"
"CCSS II|Madrid|2004|Junio/ordinaria","8","7","1","0","0","0","0","0","0","8"
"CCSS II|Madrid|2004|Septiembre","7","7","0","0","0","0","0","0","0","7"
"CCSS II|Madrid|2005|","8","7","1","0","0","0","0","0","0","8"
"CCSS II|Madrid|2005|Junio/ordinaria","9","9","0","0","0","0","0","0","0","9"
"CCSS II|Madrid|2005|Septiembre","7","7","0","0","0","0","0","0","0","7"
"CCSS II|Madrid|2006|","8","8","0","0","0","0","0","0","0","8"
"CCSS II|Madrid|2006|Junio/ordinaria","8","8","0","0","0","0","0","0","0","8"
"CCSS II|Madrid|2006|Septiembre","8","8","0","0","0","0","0","0","0","8"
"CCSS II|Madrid|2007|","1","1","0","0","0","0","0","0","0","1"
"CCSS II|Madrid|2007|Junio/ordinaria","12","11","1","0","0","0","0","0","0","12"
"CCSS II|Madrid|2007|Septiembre","4","4","0","0","0","0","0","0","0","4"
"CCSS II|Madrid|2008|","8","8","0","0","0","0","0","0","0","8"
"CCSS II|Madrid|2008|Junio/ordinaria","8","8","0","0","0","0","0","0","0","8"
"CCSS II|Madrid|2008|Septiembre","8","8","0","0","0","0","0","0","0","8"
"CCSS II|Madrid|2009|","8","8","0","0","0","0","0","0","0","8"
"CCSS II|Madrid|2009|Junio/ordinaria","9","9","0","0","0","0","0","0","0","9"
"CCSS II|Madrid|2009|Septiembre","7","7","0","0","0","0","0","0","0","7"
"CCSS II|Madrid|2010|","10","10","0","0","0","0","0","0","0","10"
"CCSS II|Madrid|2010|Junio/ordinaria","4","4","0","0","0","0","0","0","0","4"
"CCSS II|Madrid|2010|Septiembre","8","8","0","0","0","0","0","0","0","8"
"CCSS II|Madrid|2011|","8","8","0","0","0","0","0","0","0","8"
"CCSS II|Madrid|2011|Junio/ordinaria","8","8","0","0","0","0","0","0","0","8"
"CCSS II|Madrid|2011|Septiembre","16","16","0","0","0","0","0","0","0","16"
"CCSS II|Madrid|2012|","8","7","1","0","0","0","0","0","0","8"
"CCSS II|Madrid|2012|Junio/ordinaria","16","16","0","0","0","0","0","0","0","16"
"CCSS II|Madrid|2012|Septiembre","8","8","0","0","0","0","0","0","0","8"
