"key","total","SEGMENTATION_OK","EXAM_INSTRUCTION_ATTACHED","DUPLICATED_HEADER","MULTIPLE_EXERCISES_MERGED","EXERCISE_INCORRECTLY_SPLIT","SUBPART_STRUCTURE_ERROR","SOURCE_TEXT_CORRUPTION","MATH_NOTATION_CORRUPTION","DOCUMENT_REVIEW_REQUIRED"
"Matemáticas II|No verificable|2008|Junio/ordinaria","5","4","0","1","0","0","0","0","0","5"
"Matemáticas II|No verificable|2008|Septiembre","5","5","0","0","0","0","0","0","0","5"
"Matemáticas II|No verificable|2009|Junio/ordinaria","5","4","0","1","0","0","0","0","0","5"
"Matemáticas II|No verificable|2009|Septiembre","5","4","0","1","0","0","0","0","0","5"
"Matemáticas II|No verificable|2010|","4","4","0","0","0","0","0","0","0","4"
"Matemáticas II|No verificable|2010|Junio/ordinaria","2","2","0","0","0","0","0","0","0","2"
"Matemáticas II|No verificable|2010|Septiembre","2","2","0","0","0","0","0","0","0","2"
"Matemáticas II|No verificable|2011|","4","4","0","0","0","0","0","0","0","4"
"Matemáticas II|No verificable|2011|Junio/ordinaria","1","1","0","0","0","0","0","0","0","1"
"Matemáticas II|No verificable|2011|Septiembre","2","2","0","0","0","0","0","0","0","2"
"Matemáticas II|No verificable|2014|Junio/ordinaria","1","1","0","0","0","0","0","0","0","1"
"Matemáticas II|No verificable|2022|Julio","1","1","0","0","0","0","0","0","0","1"
"Matemáticas II|No verificable|2022|Junio/ordinaria","1","1","0","0","0","0","0","0","0","1"
"Matemáticas II|No verificable|2023|Julio","2","2","0","0","0","0","0","0","2","2"
"Matemáticas II|No verificable|2023|Junio/ordinaria","2","2","0","0","0","0","0","0","1","2"
"Matemáticas II|No verificable|2024|Julio","8","8","0","0","0","0","0","0","5","8"
"Matemáticas II|No verificable|2024|Junio/ordinaria","11","11","0","0","0","0","0","0","11","11"
"Matemáticas II|No verificable|2025|Julio","1","0","1","0","0","0","0","0","0","1"
"Matemáticas II|No verificable|2026|Julio","1","1","0","0","0","0","0","0","1","1"
"Matemáticas II|No verificable|2026|Junio/ordinaria","5","5","0","0","0","0","0","0","3","5"
